modelId,name,uid,humanStatus,primaryHold,allReasons,nextDependency,nextStep,sourceSHA256,diagnosticCandidateNames,diagnosticCandidateUids
B350512064601063C0,Hong Kong Baptist University School of Chinese Medicine - Lui Seng Chun,landsd/160070:0,held-ai,source-component-identity-outside-automatic-contract,source-component-identity-outside-automatic-contract,architectural component review; execution authorization pending,Proposed one GPT-5.6 Sol review of the source/footprint component mismatch; no geometry edits. Evidence packet is prepared. AI has not started.,24e5dc36fd94705b3dadeb4f51eb1f344145dc6020cda85951fd5741f3a72fdd,Hong Kong Baptist University School of Chinese Medicine - Lui Seng Chun,landsd/160070:0
B399652048902063C0,TELFORD PLAZA I,landsd/226033:0,held-unknown,native-terrain-coverage,native-terrain-coverage; source-component-identity-outside-automatic-contract,unproven engineering/source resolution,Resolve the recorded source/component or native terrain evidence; preserve the current fallback. No automatic AI work.,c0d53cb5f0c5d3f49096e955804ac760f9eb99f7d73c0917e473326cb52a47fe,TELFORD PLAZA I,landsd/226033:0
B082451282201063C0,Tian Tan Buddha Statue,landsd/241332:0,held-unknown,native-source-below-grade,native-source-below-grade; source-component-identity-outside-automatic-contract,unproven engineering/source resolution,Resolve the recorded source/component or native terrain evidence; preserve the current fallback. No automatic AI work.,d369abcc4b6c02da3722ec2372e5cdf00eb075026709408b91d07c206a93238a,Tian Tan Buddha Statue,landsd/241332:0
B346911834502063C0,Elements,landsd/273061:0,held-unknown,current-elements-neighbour-support-unresolved,current-elements-neighbour-support-unresolved,unproven engineering/source resolution,Preserve prior exact source approval and restored terrain; resolve current neighbour/assembly support before publishing. Seventeen of 38 flagged forms have complete vertex support diagnostics; these are not acceptance.,029934eb9578d41e7ca13b6c1e4583715819749587f1334948cd357da623c21a,Elements,landsd/273061:0
B338922087402063C0,V Walk,landsd/262871:0,held-unknown,native-source-below-grade,native-source-below-grade; source-component-identity-outside-automatic-contract,unproven engineering/source resolution,Resolve the recorded source/component or native terrain evidence; preserve the current fallback. No automatic AI work.,e98936729981df7e618478258f486ff5faaa98fcfa57937b2d3f5a11dc2277f8,V Walk,landsd/262871:0
B420231563001063C0,Lei Yue Mun Park Block 10,landsd/109467:0,held-unknown,native-terrain-overlapping-height-surfaces,native-terrain-overlapping-height-surfaces,unproven engineering/source resolution,Resolve and verify original overlapping terrain surfaces without moving building geometry.,0bdadb31613b86f87563767dd846767dab1c2a0d8e6af9435b540cc6a50faa4a,Lei Yue Mun Park Block 10,landsd/109467:0
B222481923801062G0,HONG KONG DISNEYLAND RESORT,landsd/108268:0,held-unknown,native-source-below-grade,native-source-below-grade; source-component-identity-outside-automatic-contract,unproven engineering/source resolution,Resolve the recorded source/component or native terrain evidence; preserve the current fallback. No automatic AI work.,36c399f8dfc855b1042fd94a3c658283eaaf2f3a6841ef7d4843a7205fa926d5,HONG KONG DISNEYLAND RESORT,landsd/108268:0
B368441814902063C0,FORTUNE METROPOLIS,landsd/240841:0,held-unknown,native-source-below-grade,native-source-below-grade; source-component-identity-outside-automatic-contract,unproven engineering/source resolution,Resolve the recorded source/component or native terrain evidence; preserve the current fallback. No automatic AI work.,e17d2d53e8d2c8b186f3bbbedf32bd6a8f7121e2d8b598f4b1fe36a65b791bf3,FORTUNE METROPOLIS,landsd/240841:0
B324122068901063C0,Stonecutters Island Sewage Treatment Works Sedimentation Tanks,landsd/128464:0,held-unknown,native-source-below-grade,native-source-below-grade; source-component-identity-outside-automatic-contract,unproven engineering/source resolution,Resolve the recorded source/component or native terrain evidence; preserve the current fallback. No automatic AI work.,921c4e2774c899bd2af89b4f97ae36fd864b7272044fba3f605d67f6b01a3aeb,Stonecutters Island Sewage Treatment Works Sedimentation Tanks,landsd/128464:0
B171642641501063C0,,,held-unknown,native-source-below-grade,native-source-below-grade; source-component-identity-outside-automatic-contract,unproven engineering/source resolution,Resolve the recorded source/component or native terrain evidence; preserve the current fallback. No automatic AI work.,7e6e8c41c654cd73fa35ffda88a23cd4474d47bb771e93281d8ba03caf02dbcf,HARROW INTERNATIONAL SCHOOL HONG KONG,landsd/85040:0
B353741083402063C0,,,held-unknown,native-source-below-grade,native-source-below-grade; source-component-identity-outside-automatic-contract,unproven engineering/source resolution,Resolve the recorded source/component or native terrain evidence; preserve the current fallback. No automatic AI work.,4739b8caf5daa5a5a7a8a76d4eaad7b1c42849bd67c2f0f59a048f793a1323d4,(unnamed),landsd/283473:0
B361581209402063C0,,landsd/136832:0,held-unknown,native-source-below-grade,native-source-below-grade; source-component-identity-outside-automatic-contract,unproven engineering/source resolution,Resolve the recorded source/component or native terrain evidence; preserve the current fallback. No automatic AI work.,8d5ec38a795bdcabdb07bdbc29808cd61ff7a08c96bd792ed71071d7bad57dca,(unnamed),landsd/136832:0
B291392437502063C0,Maritime Square,landsd/228574:0,held-unknown,native-source-below-grade,native-source-below-grade,unproven engineering/source resolution,Resolve the recorded source/component or native terrain evidence; preserve the current fallback. No automatic AI work.,a69d2f7e44253950e1e20b096e9eb4400f01aa32b8e5392467b42e22914793d8,Maritime Square,landsd/228574:0
B358222042102063C0,,,held-unknown,native-source-below-grade,native-source-below-grade; source-component-identity-outside-automatic-contract,unproven engineering/source resolution,Resolve the recorded source/component or native terrain evidence; preserve the current fallback. No automatic AI work.,5b9fa3280bbabc835db8a3b3b13850a5a80f6fd754304e08f6c903489540d1b8,MTR MONGKOK STATION,landsd/266918:0
