uid,human_status,primary_blocker,all_blockers,next_evidence_or_action
landsd/100867:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/100916:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/100954:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/101588:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/101679:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/106616:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/107029:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/111113:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/111652:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/114108:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/12962:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/132227:0,Held for unknown state,Neighbour regression,terrain-correction-regresses-neighbours,Validate a terrain treatment that clears the target without worsening neighbouring model burial or gaps.
landsd/135817:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/144575:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/146001:0,Held for unknown state,Source-part identity,native-ground-contact | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/14694:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/157851:0,Held for unknown state,Source-part identity,native-ground-contact | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/157932:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/158060:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/158101:0,Installed,Verified source port,,"Verified native source, terrain, neighbour and browser checks"
landsd/158751:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/159420:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/159663:0,Held for unknown state,Neighbour regression,terrain-correction-regresses-neighbours,Validate a terrain treatment that clears the target without worsening neighbouring model burial or gaps.
landsd/159899:0,Installed,Verified source port,,"Verified native source, terrain, neighbour and browser checks"
landsd/160375:0,Held for unknown state,Source-part identity,native-terrain-coverage | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/160382:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
