# section|id|OSM feature|English title|Traditional Chinese|description|access note (optional)
11.1|tsuen-wan-park|way/755626377|Tsuen Wan waterfront park|荃灣海濱公園|Explore the park paths between Tsuen Wan West and the Rambler Channel.|
11.2|tsuen-king|way/96197169|Tsuen King Circuit|荃景圍|A hillside estate and sports-centre approach above Tsuen Wan.|
11.3|sham-tseng|way/334676185|Sham Tseng village and coast|深井村與海岸|Visit the village playground and browse the coastal towers below Tai Lam.|
11.4|tai-mo-shan-visitor|way/300687210|Tai Mo Shan visitor centre|大帽山遊客中心|Begin exploring the mountain slopes around the country-park visitor centre.|
11.5|ma-wan-park|way/69717322|Ma Wan park and bridge views|馬灣公園與大橋景觀|Explore Ma Wan's park setting beside the Tsing Ma and Kap Shui Mun crossings.|
12.1|central-kwai-chung|way/199756565|Central Kwai Chung Park|中葵涌公園|An open park arrival amongst Kwai Chung's residential and industrial neighbourhoods.|
12.2|lai-king-hill|way/199625316|Lai King hillside|荔景山|Browse the hillside estates and public playground above the container-port corridor.|
12.3|kwai-tsing-port|relation/10507292|Kwai Tsing container terminals|葵青貨櫃碼頭|An aerial overview of the mapped cargo waterfront and terminal yards.|Aerial overview only; operational container terminals are not public walking destinations.
12.4|tsing-yi-promenade|way/135158476|Tsing Yi promenade|青衣海濱長廊|Explore Tsing Yi's eastern waterfront, with the town and Maritime Square nearby.|
12.5|tsing-yi-southwest|way/487423997|Tsing Yi southwest|青衣西南|A public leisure-centre approach overlooking the southern island's industrial landscape.|
12.6|lantau-link-view|way/158307216|Lantau Link viewing platform|青嶼幹線觀景台|Look across the Tsing Ma Bridge from the mapped public viewing-platform approach.|
13.1|tai-wai-che-kung|way/138461154|Tai Wai and Che Kung corridor|大圍車公廟走廊|Start by Che Kung Miu Road Playground to explore Tai Wai and the river corridor.|
13.2|sha-tin-park|way/32559006|Sha Tin Park and river|沙田公園與城門河|Explore the town-centre park and Shing Mun River banks.|
13.3|fo-tan-racecourse|way/163970357|Fo Tan and racecourse park|火炭與馬場公園|Browse Fo Tan, the racecourse and Penfold Park from their mapped setting.|
13.4|shek-mun-riverside|way/722719221|Shek Mun riverside|石門河畔|An arrival by the riverside gardens near Shek Mun and City One.|
13.5|wu-kai-sha-village|way/377259846|Wu Kai Sha village lanes|烏溪沙村巷|Explore the village lanes and the coast at the northern end of Ma On Shan.|
